date,casual,registered,total
2010-09-20,34,178,212
2010-09-21,109,215,324
2010-09-22,117,260,377
2010-09-23,124,249,373
2010-09-24,156,206,362
2010-09-25,267,272,539
2010-09-26,230,307,537
2010-09-27,64,222,286
2010-09-28,101,310,411
2010-09-29,77,345,422
2010-09-30,19,140,159
2010-10-01,164,414,578
2010-10-02,397,442,839
2010-10-03,222,283,505
2010-10-04,58,268,326
2010-10-05,86,538,624
2010-10-06,94,569,663
2010-10-07,162,707,869
2010-10-08,218,696,914
2010-10-09,570,539,1109
2010-10-10,621,476,1097
2010-10-11,350,617,967
2010-10-12,248,832,1080
2010-10-13,237,894,1131
2010-10-14,72,501,573
2010-10-15,280,858,1138
2010-10-16,567,807,1374
2010-10-17,597,735,1332
2010-10-18,194,943,1137
2010-10-19,194,955,1149
2010-10-20,166,974,1140
2010-10-21,194,1135,1329
2010-10-22,237,1125,1362
2010-10-23,760,938,1698
2010-10-24,718,826,1544
2010-10-25,227,1100,1327
2010-10-26,267,1287,1554
2010-10-27,142,875,1017
2010-10-28,357,1338,1695
2010-10-29,416,1236,1652
2010-10-30,1157,1135,2292
2010-10-31,988,954,1942
2010-11-01,236,1215,1451
2010-11-02,182,1223,1405
2010-11-03,180,1310,1490
2010-11-04,45,544,589
2010-11-05,294,1560,1854
2010-11-06,604,1212,1816
2010-11-07,394,1020,1414
2010-11-08,163,1436,1599
2010-11-09,215,1719,1934
2010-11-10,226,1823,2049
2010-11-11,417,1632,2049
2010-11-12,396,1624,2020
2010-11-13,915,1350,2265
2010-11-14,822,1183,2005
2010-11-15,218,1518,1736
2010-11-16,62,710,772
2010-11-17,180,1743,1923
2010-11-18,191,1665,1856
2010-11-19,250,1705,1955
2010-11-20,837,1514,2351
2010-11-21,563,1189,1752
2010-11-22,257,1648,1905
2010-11-23,161,1604,1765
2010-11-24,157,1322,1479
2010-11-25,196,357,553
2010-11-26,197,581,778
2010-11-27,362,576,938
2010-11-28,207,737,944
2010-11-29,96,1388,1484
2010-11-30,94,1165,1259
2010-12-01,40,939,979
2010-12-02,89,1369,1458
2010-12-03,113,1473,1586
2010-12-04,246,958,1204
2010-12-05,166,845,1011
2010-12-06,48,1134,1182
2010-12-07,46,1026,1072
2010-12-08,59,1075,1134
2010-12-09,71,1197,1268
2010-12-10,73,1203,1276
2010-12-11,182,947,1129
2010-12-12,43,377,420
2010-12-13,46,987,1033
2010-12-14,38,806,844
2010-12-15,43,1006,1049
2010-12-16,12,657,669
2010-12-17,35,819,854
2010-12-18,84,739,823
2010-12-19,101,698,799
2010-12-20,54,971,1025
2010-12-21,50,986,1036
2010-12-22,100,997,1097
2010-12-23,61,677,738
2010-12-24,72,271,343
2010-12-25,102,86,188
2010-12-26,15,69,84
2010-12-27,26,272,298
2010-12-28,69,620,689
2010-12-29,111,812,923
2010-12-30,148,955,1103
2010-12-31,283,651,934
2011-01-01,330,629,959
2011-01-02,130,651,781
2011-01-03,120,1181,1301
2011-01-04,107,1429,1536
2011-01-05,82,1489,1571
2011-01-06,88,1485,1573
2011-01-07,148,1345,1493
2011-01-08,68,871,939
2011-01-09,54,748,802
2011-01-10,41,1257,1298
2011-01-11,43,1188,1231
2011-01-12,25,1116,1141
2011-01-13,37,1346,1383
2011-01-14,54,1330,1384
2011-01-15,222,1018,1240
2011-01-16,251,937,1188
2011-01-17,117,876,993
2011-01-18,9,663,672
2011-01-19,78,1553,1631
2011-01-20,81,1815,1896
2011-01-21,73,1449,1522
2011-01-22,93,876,969
2011-01-23,150,827,977
2011-01-24,86,1319,1405
2011-01-25,186,1785,1971
2011-01-26,34,466,500
2011-01-27,15,409,424
2011-01-28,38,1113,1151
2011-01-29,123,947,1070
2011-01-30,140,944,1084
2011-01-31,42,1376,1418
2011-02-01,47,1284,1331
2011-02-02,72,1430,1502
2011-02-03,61,1473,1534
2011-02-04,88,1603,1691
2011-02-05,100,892,992
2011-02-06,354,1249,1603
2011-02-07,119,1568,1687
2011-02-08,64,1446,1510
2011-02-09,52,1540,1592
2011-02-10,46,1474,1520
2011-02-11,148,1576,1724
2011-02-12,288,1167,1455
2011-02-13,396,1162,1558
2011-02-14,207,1685,1892
2011-02-15,139,1641,1780
2011-02-16,218,1861,2079
2011-02-17,258,2185,2443
2011-02-18,578,2314,2892
2011-02-19,532,1077,1609
2011-02-20,639,1148,1787
2011-02-21,195,898,1093
2011-02-22,74,1358,1432
2011-02-23,139,1740,1879
2011-02-24,100,1686,1786
2011-02-25,120,1323,1443
2011-02-26,424,1519,1943
2011-02-27,694,1677,2371
2011-02-28,80,1350,1430
2011-03-01,137,1695,1832
2011-03-02,231,1878,2109
2011-03-03,123,1536,1659
2011-03-04,214,1709,1923
2011-03-05,640,1414,2054
2011-03-06,113,469,582
2011-03-07,243,1599,1842
2011-03-08,316,1781,2097
2011-03-09,191,1677,1868
2011-03-10,46,570,616
2011-03-11,247,1706,1953
2011-03-12,724,1380,2104
2011-03-13,979,1396,2375
2011-03-14,359,1673,2032
2011-03-15,288,1736,2024
2011-03-16,321,1851,2172
2011-03-17,423,2295,2718
2011-03-18,883,2311,3194
2011-03-19,1422,1634,3056
2011-03-20,1046,1372,2418
2011-03-21,401,1657,2058
2011-03-22,460,2207,2667
2011-03-23,203,1898,2101
2011-03-24,166,1678,1844
2011-03-25,300,1886,2186
2011-03-26,981,1477,2458
2011-03-27,470,1195,1665
2011-03-28,222,1782,2004
2011-03-29,317,2080,2397
2011-03-30,168,1351,1519
2011-03-31,179,1489,1668
2011-04-01,307,1885,2192
