date,temperature,windspeed,humidity
2010-01-01,2,14,0.71
2010-01-02,-3,33,0.43
2010-01-03,-5,31,0.42
2010-01-04,-2,20,0.46
2010-01-05,-1,20,0.46
2010-01-06,0,22,0.5
2010-01-07,1,15,0.52
2010-01-08,-2,17,0.61
2010-01-09,-1,20,0.47
2010-01-10,-4,19,0.43
2010-01-11,-2,10,0.51
2010-01-12,0,20,0.48
2010-01-13,1,10,0.52
2010-01-14,3,5,0.57
2010-01-15,5,9,0.63
2010-01-16,4,6,0.76
2010-01-17,5,15,0.86
2010-01-18,8,17,0.68
2010-01-19,7,10,0.71
2010-01-20,4,11,0.61
2010-01-21,3,14,0.6
2010-01-22,4,17,0.67
2010-01-23,4,8,0.58
2010-01-24,6,9,0.78
2010-01-25,14,25,0.7
2010-01-26,5,18,0.47
2010-01-27,3,12,0.48
2010-01-28,4,22,0.47
2010-01-29,-5,22,0.38
2010-01-30,-7,20,0.62
2010-01-31,-4,13,0.44
2010-02-01,-1,8,0.51
2010-02-02,0,7,0.69
2010-02-03,2,9,0.74
2010-02-04,2,12,0.49
2010-02-05,1,12,0.79
2010-02-06,-3,25,0.84
2010-02-07,-4,13,0.59
2010-02-08,-3,14,0.52
2010-02-09,-2,7,0.69
2010-02-10,-3,30,0.79
2010-02-11,1,24,0.54
2010-02-12,0,14,0.52
2010-02-13,-1,20,0.51
2010-02-14,0,17,0.51
2010-02-15,-1,7,0.75
2010-02-16,0,19,0.5
2010-02-17,0,17,0.54
2010-02-18,4,25,0.51
2010-02-19,4,19,0.48
2010-02-20,4,15,0.43
2010-02-21,5,10,0.53
2010-02-22,4,11,0.73
2010-02-23,4,18,0.8
2010-02-24,5,13,0.56
2010-02-25,3,28,0.58
2010-02-26,2,31,0.47
2010-02-27,4,16,0.54
2010-02-28,5,19,0.52
2010-03-01,6,20,0.52
2010-03-02,4,12,0.67
2010-03-03,4,24,0.77
2010-03-04,5,24,0.42
2010-03-05,6,25,0.38
2010-03-06,6,20,0.31
2010-03-07,9,13,0.27
2010-03-08,10,15,0.25
2010-03-09,11,7,0.36
2010-03-10,11,6,0.59
2010-03-11,12,10,0.75
2010-03-12,11,20,0.88
2010-03-13,11,21,0.87
2010-03-14,10,14,0.87
2010-03-15,9,22,0.76
2010-03-16,11,17,0.48
2010-03-17,13,5,0.44
2010-03-18,14,6,0.42
2010-03-19,15,9,0.45
2010-03-20,15,7,0.47
2010-03-21,16,11,0.52
2010-03-22,16,15,0.77
2010-03-23,10,20,0.6
2010-03-24,14,16,0.43
2010-03-25,15,18,0.51
2010-03-26,9,21,0.64
2010-03-27,5,16,0.41
2010-03-28,9,13,0.73
2010-03-29,12,11,0.83
2010-03-30,10,31,0.53
2010-03-31,15,26,0.34
2010-04-01,16,6,0.53
2010-04-02,17,9,0.58
2010-04-03,16,10,0.7
2010-04-04,18,8,0.57
2010-04-05,20,8,0.6
2010-04-06,24,16,0.52
2010-04-07,25,18,0.39
2010-04-08,23,24,0.53
2010-04-09,12,24,0.5
2010-04-10,12,11,0.41
2010-04-11,16,10,0.49
2010-04-12,18,10,0.36
2010-04-13,11,14,0.67
2010-04-14,12,8,0.62
2010-04-15,15,11,0.6
2010-04-16,22,18,0.51
2010-04-17,15,30,0.41
2010-04-18,10,18,0.5
2010-04-19,14,17,0.45
2010-04-20,14,7,0.51
2010-04-21,13,7,0.8
2010-04-22,16,10,0.59
2010-04-23,17,10,0.46
2010-04-24,14,9,0.54
2010-04-25,16,14,0.81
2010-04-26,14,7,0.86
2010-04-27,14,21,0.55
2010-04-28,11,20,0.38
2010-04-29,15,14,0.37
2010-04-30,19,10,0.54
2010-05-01,23,15,0.6
2010-05-02,26,18,0.68
2010-05-03,25,16,0.72
2010-05-04,24,12,0.47
2010-05-05,23,10,0.5
2010-05-06,24,19,0.44
2010-05-07,20,15,0.44
2010-05-08,21,28,0.41
2010-05-09,13,25,0.39
2010-05-10,13,17,0.35
2010-05-11,11,14,0.61
2010-05-12,18,15,0.72
2010-05-13,14,12,0.71
2010-05-14,22,16,0.73
2010-05-15,23,16,0.44
2010-05-16,20,8,0.52
2010-05-17,15,11,0.77
2010-05-18,13,20,0.81
2010-05-19,15,10,0.7
2010-05-20,20,9,0.59
2010-05-21,22,9,0.57
2010-05-22,21,14,0.66
2010-05-23,21,15,0.81
2010-05-24,21,10,0.74
2010-05-25,22,9,0.71
2010-05-26,25,6,0.63
2010-05-27,27,8,0.6
2010-05-28,22,13,0.68
2010-05-29,22,9,0.75
2010-05-30,26,8,0.6
2010-05-31,27,14,0.63
2010-06-01,26,17,0.7
2010-06-02,27,10,0.61
2010-06-03,25,12,0.71
2010-06-04,27,11,0.68
2010-06-05,28,12,0.62
2010-06-06,26,17,0.62
2010-06-07,22,18,0.5
2010-06-08,21,14,0.4
2010-06-09,21,15,0.66
2010-06-10,27,13,0.52
2010-06-11,25,11,0.53
2010-06-12,26,15,0.68
2010-06-13,29,13,0.63
2010-06-14,27,11,0.63
2010-06-15,25,11,0.68
2010-06-16,25,12,0.76
2010-06-17,26,20,0.53
2010-06-18,24,11,0.5
2010-06-19,27,16,0.59
2010-06-20,29,14,0.52
2010-06-21,29,12,0.46
2010-06-22,29,10,0.58
2010-06-23,30,12,0.57
2010-06-24,31,17,0.52
2010-06-25,28,12,0.46
2010-06-26,29,8,0.51
2010-06-27,31,12,0.54
2010-06-28,30,15,0.61
2010-06-29,29,15,0.45
2010-06-30,23,16,0.38
2010-07-01,23,18,0.36
2010-07-02,23,10,0.38
2010-07-03,24,10,0.44
2010-07-04,27,11,0.49
2010-07-05,30,8,0.49
2010-07-06,33,7,0.47
2010-07-07,33,8,0.45
2010-07-08,30,11,0.57
2010-07-09,29,9,0.61
2010-07-10,25,15,0.77
2010-07-11,28,8,0.48
2010-07-12,25,11,0.72
2010-07-13,26,7,0.77
2010-07-14,26,14,0.73
2010-07-15,29,9,0.6
2010-07-16,31,14,0.58
2010-07-17,29,11,0.58
2010-07-18,30,14,0.55
2010-07-19,29,14,0.66
2010-07-20,29,12,0.6
2010-07-21,29,11,0.64
2010-07-22,31,12,0.47
2010-07-23,31,10,0.56
2010-07-24,33,15,0.52
2010-07-25,30,14,0.57
2010-07-26,28,15,0.5
2010-07-27,27,10,0.56
2010-07-28,29,13,0.63
2010-07-29,28,10,0.69
2010-07-30,25,14,0.47
2010-07-31,26,12,0.51
2010-08-01,23,10,0.7
2010-08-02,24,11,0.68
2010-08-03,27,15,0.71
2010-08-04,29,15,0.67
2010-08-05,26,12,0.72
2010-08-06,27,13,0.58
2010-08-07,26,9,0.47
2010-08-08,27,11,0.56
2010-08-09,29,15,0.64
2010-08-10,31,10,0.54
2010-08-11,32,9,0.49
2010-08-12,27,10,0.75
2010-08-13,24,17,0.72
2010-08-14,25,8,0.58
2010-08-15,25,17,0.78
2010-08-16,28,13,0.71
2010-08-17,29,7,0.57
2010-08-18,23,12,0.82
2010-08-19,26,6,0.67
2010-08-20,27,8,0.61
2010-08-21,28,12,0.62
2010-08-22,27,17,0.68
2010-08-23,26,13,0.61
2010-08-24,22,18,0.7
2010-08-25,23,11,0.65
2010-08-26,25,11,0.57
2010-08-27,24,8,0.52
2010-08-28,25,5,0.61
2010-08-29,27,6,0.63
2010-08-30,29,7,0.54
2010-08-31,29,5,0.5
2010-09-01,30,12,0.52
2010-09-02,29,13,0.54
2010-09-03,28,11,0.56
2010-09-04,25,18,0.32
2010-09-05,22,12,0.39
2010-09-06,23,12,0.53
2010-09-07,27,18,0.54
2010-09-08,29,22,0.39
2010-09-09,22,21,0.39
2010-09-10,20,18,0.47
2010-09-11,21,9,0.51
2010-09-12,20,10,0.85
2010-09-13,22,10,0.66
2010-09-14,23,10,0.54
2010-09-15,23,5,0.51
2010-09-16,24,11,0.68
2010-09-17,23,17,0.59
2010-09-18,20,9,0.57
2010-09-19,23,6,0.61
2010-09-20,23,17,0.47
2010-09-21,20,10,0.52
2010-09-22,26,15,0.6
2010-09-23,27,8,0.64
2010-09-24,29,15,0.6
2010-09-25,28,14,0.47
2010-09-26,21,19,0.6
2010-09-27,22,18,0.88
2010-09-28,24,19,0.67
2010-09-29,18,11,0.72
2010-09-30,23,19,0.9
2010-10-01,19,25,0.63
2010-10-02,17,9,0.55
2010-10-03,15,17,0.77
2010-10-04,12,22,0.82
2010-10-05,13,18,0.64
2010-10-06,14,13,0.64
2010-10-07,18,15,0.58
2010-10-08,19,8,0.49
2010-10-09,20,9,0.58
2010-10-10,19,11,0.62
2010-10-11,23,9,0.64
2010-10-12,21,10,0.62
2010-10-13,16,11,0.53
2010-10-14,14,12,0.81
2010-10-15,14,18,0.52
2010-10-16,15,18,0.46
2010-10-17,17,12,0.57
2010-10-18,16,5,0.58
2010-10-19,14,10,0.74
2010-10-20,13,7,0.85
2010-10-21,15,16,0.6
2010-10-22,12,16,0.46
2010-10-23,13,12,0.62
2010-10-24,17,12,0.66
2010-10-25,20,21,0.76
2010-10-26,20,18,0.83
2010-10-27,22,14,0.89
2010-10-28,21,16,0.61
2010-10-29,11,24,0.47
2010-10-30,10,15,0.57
2010-10-31,13,14,0.53
2010-11-01,9,11,0.51
2010-11-02,7,10,0.57
2010-11-03,9,6,0.72
2010-11-04,10,17,0.88
2010-11-05,10,17,0.63
2010-11-06,8,17,0.62
2010-11-07,7,18,0.59
2010-11-08,11,19,0.4
2010-11-09,12,18,0.52
2010-11-10,13,13,0.64
2010-11-11,11,9,0.54
2010-11-12,10,6,0.5
2010-11-13,10,2,0.55
2010-11-14,11,6,0.67
2010-11-15,11,4,0.84
2010-11-16,14,12,0.88
2010-11-17,14,22,0.57
2010-11-18,10,13,0.57
2010-11-19,8,9,0.57
2010-11-20,10,10,0.62
2010-11-21,10,5,0.68
2010-11-22,12,9,0.81
2010-11-23,16,14,0.62
2010-11-24,8,15,0.45
2010-11-25,9,10,0.65
2010-11-26,11,18,0.61
2010-11-27,5,18,0.45
2010-11-28,5,9,0.51
2010-11-29,6,6,0.69
2010-11-30,13,14,0.81
2010-12-01,10,26,0.67
2010-12-02,3,12,0.54
2010-12-03,3,15,0.56
2010-12-04,2,15,0.51
2010-12-05,2,25,0.46
2010-12-06,1,25,0.42
2010-12-07,-1,25,0.42
2010-12-08,-1,17,0.43
2010-12-09,-1,11,0.48
2010-12-10,1,8,0.62
2010-12-11,3,6,0.73
2010-12-12,6,10,0.92
2010-12-13,0,27,0.51
2010-12-14,-5,28,0.43
2010-12-15,-3,20,0.41
2010-12-16,-4,7,0.71
2010-12-17,-1,12,0.6
2010-12-18,-1,6,0.77
2010-12-19,0,16,0.62
2010-12-20,0,22,0.56
2010-12-21,1,17,0.51
2010-12-22,3,18,0.47
2010-12-23,2,32,0.49
2010-12-24,2,22,0.52
2010-12-25,1,11,0.61
2010-12-26,-1,26,0.67
2010-12-27,0,35,0.39
2010-12-28,2,17,0.36
2010-12-29,4,11,0.48
2010-12-30,2,7,0.66
2010-12-31,4,6,0.64
2011-01-01,9,12,0.81
2011-01-02,9,18,0.68
2011-01-03,1,16,0.45
2011-01-04,1,10,0.6
2011-01-05,3,13,0.43
2011-01-06,1,7,0.53
2011-01-07,1,11,0.51
2011-01-08,-1,18,0.53
2011-01-09,-2,24,0.44
2011-01-10,-1,14,0.49
2011-01-11,-1,8,0.68
2011-01-12,-1,20,0.62
2011-01-13,-1,20,0.47
2011-01-14,-1,8,0.54
2011-01-15,3,11,0.5
2011-01-16,2,14,0.49
2011-01-17,0,13,0.56
2011-01-18,1,14,0.88
2011-01-19,6,15,0.74
2011-01-20,4,14,0.54
2011-01-21,0,23,0.46
2011-01-22,-6,12,0.42
2011-01-23,-4,16,0.44
2011-01-24,-4,11,0.51
2011-01-25,2,8,0.62
2011-01-26,2,22,0.88
2011-01-27,1,13,0.68
2011-01-28,1,9,0.79
2011-01-29,1,9,0.65
2011-01-30,2,5,0.71
2011-01-31,0,12,0.61
2011-02-01,1,4,0.84
2011-02-02,4,18,0.76
2011-02-03,0,18,0.45
2011-02-04,2,9,0.59
2011-02-05,3,11,0.94
2011-02-06,5,9,0.57
2011-02-07,4,3,0.76
2011-02-08,2,25,0.52
2011-02-09,-2,13,0.52
2011-02-10,-2,14,0.43
2011-02-11,0,7,0.53
2011-02-12,2,14,0.55
2011-02-13,7,18,0.46
2011-02-14,12,28,0.38
2011-02-15,4,20,0.32
2011-02-16,7,17,0.43
2011-02-17,13,16,0.52
2011-02-18,17,18,0.49
2011-02-19,10,34,0.2
2011-02-20,5,15,0.42
2011-02-21,6,21,0.62
2011-02-22,0,15,0.64
2011-02-23,2,6,0.43
2011-02-24,6,17,0.71
2011-02-25,9,24,0.7
2011-02-26,5,13,0.56
2011-02-27,8,8,0.68
2011-02-28,11,18,0.89
2011-03-01,4,14,0.54
2011-03-02,8,21,0.44
2011-03-03,1,14,0.34
2011-03-04,4,13,0.63
2011-03-05,11,18,0.79
2011-03-06,9,23,0.96
2011-03-07,4,24,0.54
2011-03-08,6,8,0.43
2011-03-09,6,15,0.79
